1,0.3919,0.9264,0.5333,0.2764,0.4722,0.1706,0.5047,0.5139,0.2928,0.0425,0.0695,0.064,0.3497,0.5314,0.4563,-0.0609,0.0923,-0.0673,-0.167,-0.1313,-0.0968
0.3919,1,0.3609,0.8231,0.8723,0.9392,0.7097,0.157,0.331,-0.4151,-0.1926,-0.2103,0.2851,0.3225,0.134,0.528,-0.6547,-0.4293,0.0307,-0.6771,-0.2526,-0.677
0.9264,0.3609,1,0.5281,0.2017,0.449,0.1595,0.482,0.5143,0.3049,0.0685,0.0458,0.0533,0.3468,0.5518,0.421,-0.0471,0.1099,-0.0555,-0.1477,-0.147,-0.0754
0.5333,0.8231,0.5281,1,0.6877,0.8789,0.6193,0.4982,0.6948,-0.0068,0.1115,0.1045,0.3224,0.631,0.5018,0.6611,-0.4775,-0.1092,0.0424,-0.5256,-0.276,-0.4972
0.2764,0.8723,0.2017,0.6877,1,0.8183,0.5801,0.1397,0.2753,-0.4916,-0.187,-0.1437,0.3949,0.3334,-0.0177,0.5312,-0.6396,-0.4636,0.0742,-0.6881,-0.1149,-0.6784
0.4722,0.9392,0.449,0.8789,0.8183,1,0.6548,0.2786,0.4608,-0.2888,-0.1101,-0.1573,0.3081,0.3853,0.2503,0.5398,-0.5804,-0.3336,0.0483,-0.6253,-0.2505,-0.6059
0.1706,0.7097,0.1595,0.6193,0.5801,0.6548,1,-0.0965,0.1375,-0.3909,-0.1093,-0.0395,0.1807,0.211,-0.0108,0.241,-0.6474,-0.3133,-0.0074,-0.5504,-0.336,-0.6507
0.5047,0.157,0.482,0.4982,0.1397,0.2786,-0.0965,1,0.877,0.598,0.4291,0.5004,0.3105,0.5707,0.7621,0.6164,0.1328,0.2627,0.0977,-0.0234,0.1478,0.0962
0.5139,0.331,0.5143,0.6948,0.2753,0.4608,0.1375,0.877,1,0.4706,0.4799,0.4367,0.4308,0.6856,0.7109,0.6127,-0.0125,0.2253,0.1896,-0.1576,0.034,-0.0377
0.2928,-0.4151,0.3049,-0.0068,-0.4916,-0.2888,-0.3909,0.598,0.4706,1,0.3707,0.4856,-0.2076,0.3163,0.6337,0.1872,0.6303,0.7261,-0.1173,0.5617,0.0231,0.6492
0.0425,-0.1926,0.0685,0.1115,-0.187,-0.1101,-0.1093,0.4291,0.4799,0.3707,1,0.6407,0.5022,0.4848,0.4396,0.2438,0.1926,0.2137,0.6575,0.1115,0.4827,0.28
0.0695,-0.2103,0.0458,0.1045,-0.1437,-0.1573,-0.0395,0.5004,0.4367,0.4856,0.6407,1,0.1955,0.4068,0.3933,0.2694,0.2124,0.4096,0.1463,0.1964,0.2624,0.1475
0.064,0.2851,0.0533,0.3224,0.3949,0.3081,0.1807,0.3105,0.4308,-0.2076,0.5022,0.1955,1,0.2937,0.0572,0.2783,-0.2451,-0.2891,0.7047,-0.3631,0.5119,-0.2335
0.3497,0.3225,0.3468,0.631,0.3334,0.3853,0.211,0.5707,0.6856,0.3163,0.4848,0.4068,0.2937,1,0.634,0.7689,-0.198,0.1448,0.1386,-0.2441,-0.0925,-0.1048
0.5314,0.134,0.5518,0.5018,-0.0177,0.2503,-0.0108,0.7621,0.7109,0.6337,0.4396,0.3933,0.0572,0.634,1,0.6133,0.038,0.23,0.0172,-0.0483,-0.0298,0.1036
0.4563,0.528,0.421,0.6611,0.5312,0.5398,0.241,0.6164,0.6127,0.1872,0.2438,0.2694,0.2783,0.7689,0.6133,1,-0.3092,-0.0874,0.0724,-0.3656,-0.0113,-0.2204
-0.0609,-0.6547,-0.0471,-0.4775,-0.6396,-0.5804,-0.6474,0.1328,-0.0125,0.6303,0.1926,0.2124,-0.2451,-0.198,0.038,-0.3092,1,0.741,0.0365,0.8732,0.2812,0.8565
0.0923,-0.4293,0.1099,-0.1092,-0.4636,-0.3336,-0.3133,0.2627,0.2253,0.7261,0.2137,0.4096,-0.2891,0.1448,0.23,-0.0874,0.741,1,-0.1468,0.7137,-0.0415,0.6078
-0.0673,0.0307,-0.0555,0.0424,0.0742,0.0483,-0.0074,0.0977,0.1896,-0.1173,0.6575,0.1463,0.7047,0.1386,0.0172,0.0724,0.0365,-0.1468,1,-0.0723,0.7254,0.1158
-0.167,-0.6771,-0.1477,-0.5256,-0.6881,-0.6253,-0.5504,-0.0234,-0.1576,0.5617,0.1115,0.1964,-0.3631,-0.2441,-0.0483,-0.3656,0.8732,0.7137,-0.0723,1,0.1676,0.8177
-0.1313,-0.2526,-0.147,-0.276,-0.1149,-0.2505,-0.336,0.1478,0.034,0.0231,0.4827,0.2624,0.5119,-0.0925,-0.0298,-0.0113,0.2812,-0.0415,0.7254,0.1676,1,0.2978
-0.0968,-0.677,-0.0754,-0.4972,-0.6784,-0.6059,-0.6507,0.0962,-0.0377,0.6492,0.28,0.1475,-0.2335,-0.1048,0.1036,-0.2204,0.8565,0.6078,0.1158,0.8177,0.2978,1
